City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.91,75,20,19.57,few clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,72.9,89,100,28.5,overcast clouds
2,Dauphin,CA,51.1494,-100.0502,23.14,80,100,18.41,overcast clouds
3,Dong Hoi,VN,17.4833,106.6,71.53,93,100,19.8,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,62.28,65,0,12.66,clear sky
5,Panama City,PA,8.9936,-79.5197,79.14,78,20,4.61,few clouds
6,Severo-Kurilsk,RU,50.6789,156.125,22.96,89,93,34.16,snow
7,Fairbanks,US,64.8378,-147.7164,14.09,86,40,4.61,mist
8,Albany,US,42.6001,-73.9662,31.23,77,1,4.34,clear sky
9,Santa Ines,BR,-3.6667,-45.38,74.17,90,87,4.09,overcast clouds
10,Atuona,PF,-9.8,-139.0333,77.61,79,18,19.28,light rain
11,Lichuan,CN,30.3,108.85,36.82,87,96,0.36,overcast clouds
12,Portland,US,45.5234,-122.6762,36.18,93,100,8.05,mist
13,San Quintin,MX,30.4833,-115.95,61.45,86,100,10.49,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,-5.28,65,100,10.36,light snow
15,Mataura,NZ,-46.1927,168.8643,50.49,59,100,3.76,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,57.7,76,14,4.09,few clouds
17,Eresos,GR,39.1667,25.9333,51.89,73,83,9.31,broken clouds
18,Tuatapere,NZ,-46.1333,167.6833,56.01,73,100,4.97,overcast clouds
19,Paamiut,GL,61.994,-49.6678,25.7,74,58,20.42,broken clouds
20,Sakakah,SA,29.9697,40.2064,54.97,69,5,7.0,clear sky
21,Poso,ID,-1.3959,120.7524,80.4,78,100,1.32,overcast clouds
22,Moyale,KE,3.5167,39.0584,65.23,60,84,3.96,broken clouds
23,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,19.94,91,100,9.51,overcast clouds
24,Castro,BR,-24.7911,-50.0119,64.8,97,100,3.18,overcast clouds
25,Maragogi,BR,-9.0122,-35.2225,75.54,87,15,10.13,few clouds
26,Ushuaia,AR,-54.8,-68.3,44.26,65,40,13.8,scattered clouds
27,Rikitea,PF,-23.1203,-134.9692,75.54,81,89,11.59,overcast clouds
28,Salta,AR,-24.7859,-65.4117,75.79,47,20,10.36,few clouds
29,Miguel Calmon,BR,-11.4289,-40.595,67.19,96,100,6.89,overcast clouds
30,Hay River,CA,60.8156,-115.7999,3.18,72,75,12.66,light snow
31,Ko Samui,TH,9.5357,99.9357,80.51,83,40,11.5,moderate rain
32,Bengkulu,ID,-3.8004,102.2655,77.27,81,100,2.08,overcast clouds
33,Mwense,ZM,-10.3845,28.698,65.1,98,100,1.28,overcast clouds
34,Kohtla-Jarve,EE,59.3986,27.2731,24.82,92,96,4.94,overcast clouds
35,Bluff,NZ,-46.6,168.3333,50.81,67,100,2.71,overcast clouds
36,Tevaitoa,PF,-16.7833,-151.5,80.38,75,2,12.82,clear sky
37,Chokurdakh,RU,70.6333,147.9167,-39.87,100,96,4.23,overcast clouds
38,Vaini,TO,-21.2,-175.2,78.96,94,75,12.66,light intensity shower rain
39,Da Lat,VN,11.9465,108.4419,66.92,74,90,4.79,overcast clouds
40,Kyabe,TD,9.4515,18.9449,74.89,23,9,5.66,clear sky
41,Jalu,LY,29.0331,21.5482,58.48,55,5,7.78,clear sky
42,Talara,PE,-4.5772,-81.2719,72.36,68,0,5.75,clear sky
43,Saint-Augustin,CA,51.226,-58.6502,30.2,90,65,9.26,broken clouds
44,Tasiilaq,GL,65.6145,-37.6368,28.56,66,86,2.86,overcast clouds
45,Lavrentiya,RU,65.5833,-171.0,32.41,98,100,36.91,snow
46,Ambon,ID,-3.6954,128.1814,84.34,79,40,3.44,scattered clouds
47,Sobolevo,RU,54.4299,31.8996,12.92,88,100,8.46,overcast clouds
48,Khiri Mat,TH,16.8333,99.8,77.04,82,2,3.6,clear sky
49,Ponta Do Sol,PT,32.6667,-17.1,63.72,75,99,20.54,light rain
50,Noormarkku,FI,61.5927,21.8685,19.18,93,0,2.3,clear sky
51,Saldanha,ZA,-33.0117,17.9442,55.45,80,0,14.94,clear sky
52,Port Alfred,ZA,-33.5906,26.891,64.18,89,100,4.52,overcast clouds
53,Butaritari,KI,3.0707,172.7902,80.64,79,55,10.54,broken clouds
54,Georgetown,MY,5.4112,100.3354,81.9,86,20,5.01,few clouds
55,Constitucion,CL,-35.3333,-72.4167,55.71,82,0,12.91,clear sky
56,Kapaa,US,22.0752,-159.319,82.72,74,40,11.5,scattered clouds
57,Zheleznodorozhnyy,RU,55.7503,38.0042,12.61,89,92,5.21,overcast clouds
58,Moron,AR,-34.6534,-58.6198,78.55,69,0,7.54,clear sky
59,Bethel,US,41.3712,-73.414,34.63,72,0,0.0,clear sky
60,Hilo,US,19.7297,-155.09,80.33,74,75,9.22,broken clouds
61,Muros,ES,42.7762,-9.0603,46.69,93,27,6.69,scattered clouds
62,Bonthe,SL,7.5264,-12.505,77.81,84,100,2.3,light rain
63,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,40,8.05,scattered clouds
64,Bolzano,IT,46.4927,11.3336,49.5,93,100,1.03,overcast clouds
65,Avarua,CK,-21.2078,-159.775,82.45,83,75,5.75,broken clouds
66,Baghdad,IQ,33.3406,44.4009,51.71,100,1,5.75,mist
67,Gamba,GA,-2.65,10.0,76.15,92,97,6.22,overcast clouds
68,Faanui,PF,-16.4833,-151.75,80.51,69,3,13.94,clear sky
69,Katangli,RU,51.7102,143.2326,0.7,81,16,16.04,few clouds
70,Batagay-Alyta,RU,67.8006,130.4114,-10.35,99,100,1.99,overcast clouds
71,Surt,LY,31.2089,16.5887,67.26,51,6,6.85,clear sky
72,Awjilah,LY,29.1081,21.2869,59.23,52,6,8.68,clear sky
73,Cabedelo,BR,-6.9811,-34.8339,79.47,78,33,12.8,scattered clouds
74,Nuuk,GL,64.1835,-51.7216,24.19,76,60,11.21,broken clouds
75,Tonaya,MX,19.7833,-103.9667,74.16,62,13,0.6,few clouds
76,Savelugu,GH,9.6244,-0.8253,81.88,28,25,5.55,scattered clouds
77,Karasjok,NO,69.4719,25.5112,6.76,98,58,6.93,broken clouds
78,Puerto Escondido,MX,15.85,-97.0667,79.63,69,0,3.44,clear sky
79,Kahului,US,20.8947,-156.47,82.42,65,0,18.41,clear sky
80,Maltahohe,NA,-24.8333,16.9833,64.44,23,2,9.13,clear sky
81,Iquitos,PE,-3.7481,-73.2472,77.04,83,20,0.0,few clouds
82,Jamestown,US,42.097,-79.2353,32.02,51,0,11.5,clear sky
83,Hasaki,JP,35.7333,140.8333,48.6,76,100,20.11,light rain
84,Saint-Joseph,RE,-21.3667,55.6167,71.98,81,13,7.87,few clouds
85,Barrow,US,71.2906,-156.7887,21.22,86,100,27.63,mist
86,Bilma,NE,18.6853,12.9164,72.14,20,0,8.37,clear sky
87,Waw,SS,7.7029,27.9953,76.96,37,93,4.14,overcast clouds
